10	5.082673902
10.02	5.408413851
10.04	5.35073246
10.06	5.23933921
10.08	4.951344147
10.1	4.640307218
10.12	4.34965907
10.14	4.335626388
10.16	4.433362507
10.18	4.463660986
10.2	4.684165913
10.22	4.871602168
10.24	5.052524835
10.26	5.146574093
10.28	5.261856112
10.3	5.164867058
10.32	5.281404951
10.34	5.352711169
10.36	5.116005056
10.38	5.048878357
10.4	4.724418511
10.42	4.68872502
10.44	4.693049913
10.46	4.781893955
10.48	4.894724798
10.5	4.844570578
10.52	4.898209749
10.54	4.975157306
10.56	5.219382514
10.58	5.392963767
10.6	5.510515244
10.62	5.592571102
10.64	5.712634329
10.66	5.812870082
10.68	5.94903354
10.7	5.803776096
10.72	5.677667711
10.74	5.705797687
10.76	5.658268285
10.78	5.547424227
10.8	5.368286437
10.82	5.255718076
10.84	5.187755473
10.86	5.234877019
10.88	5.369182913
10.9	5.40221928
10.92	5.488281014
10.94	5.428899548
10.96	5.53864522
10.98	5.495905102
11	5.654310866
11.02	5.67320552
11.04	5.714265754
11.06	5.860181422
11.08	5.718925816
11.1	5.715077429
11.12	5.619574425
11.14	5.818689102
11.16	6.307196052
11.18	6.772063486
11.2	6.961958993
11.22	6.960997906
11.24	7.167668021
11.26	7.357426231
11.28	7.60802369
11.3	8.021133745
11.32	8.252424656
11.34	8.541812891
11.36	8.549707537
11.38	8.457842935
11.4	8.62075531
11.42	9.098508582
11.44	9.599340064
11.46	10.0658995
11.48	10.51207418
11.5	10.91972866
11.52	11.36418308
11.54	12.03692804
11.56	12.70399129
11.58	13.36937868
11.6	14.22025997
11.62	15.11535531
11.64	15.99901856
11.66	16.92509483
11.68	18.03679422
11.7	19.47438296
11.72	21.35935785
11.74	23.10436128
11.76	24.70507643
11.78	26.44832324
11.8	28.53813491
11.82	30.83929292
11.84	33.31007879
11.86	36.67680802
11.88	40.13819224
11.9	43.57702725
11.92	47.52015043
11.94	52.59864885
11.96	57.20944503
11.98	61.6596831
12	66.38197349
12.02	71.87026662
